Keyword,Day_of_Week,Video_Count,Avg_Views,Avg_Engagement,Median_Views,Norm_Avg_Views,Norm_Avg_Engagement,Norm_Video_Count,Timing_Opportunity_Score
google,Thursday,7,582352688.0,2.0404359647308246,2343365.0,1.0,0.1559528622132641,0.14285714285714285,0.5344645022816831
crypto,Tuesday,23,48553.13043478261,9.193614068638567,27258.0,6.238254553570022e-05,1.0,0.7142857142857143,0.5214566435740625
crypto,Wednesday,23,38349.65217391304,9.046839344905768,8867.0,4.486104580565322e-05,0.9826811546327316,0.7142857142857143,0.5136552784839132
gaming,Wednesday,21,288267.0,8.406393327198765,82874.0,0.0004740212429966511,0.9071110205887883,0.6428571428571429,0.47269898311001757
reaction,Wednesday,28,968812.3928571428,7.701051161941833,43959.5,0.001642659584978569,0.8238833940572777,0.8928571428571429,0.46077243842472965
education,Wednesday,4,503383.5,9.157221523784663,409385.0,0.0008434211280469708,0.9957058215419057,0.03571428571428571,0.45201858777290727
reaction,Tuesday,22,183267.0909090909,7.391716708030059,40474.5,0.00029371450525930487,0.7873831340818659,0.6785714285714286,0.42231172472134915
xbox,Wednesday,14,1633197.357142857,7.764440499104357,19479.5,0.002783547101446639,0.8313630887917061,0.39285714285714285,0.414651700437633
minecraft,Wednesday,31,1083062.8387096773,5.973808595193317,145497.0,0.0018388514231912306,0.6200755028583893,1.0,0.37986145942671123
asmr,Wednesday,24,153537.125,6.3597569306403985,35410.5,0.000242661954714051,0.6656159022634739,0.75,0.3746363538981846
game development,Tuesday,8,702810.0,7.304663229259276,142418.0,0.0011858780115309787,0.7771111628652234,0.17857142857142858,0.36809081125168236
nintendo,Wednesday,26,632056.0384615385,5.945107286458105,98377.5,0.0010643787064606451,0.6166888602868231,0.8214285714285714,0.36013181468983485
animals,Monday,7,415196279.4285714,0.8638727485300254,106151957.0,0.7129575922269561,0.0171229881860915,0.14285714285714285,0.3428219754715857
gaming,Tuesday,12,315153.0833333333,6.529236761309767,137048.5,0.0005201902541733235,0.6856138617593956,0.32142857142857145,0.3409031805489632
xbox,Thursday,3,407043.3333333333,6.968758791662377,42216.0,0.0006779849737194538,0.7374757483676253,0.0,0.3321691800036051
asmr,Tuesday,14,284017.78571428574,6.226950292878518,66818.0,0.00046672445605238126,0.6499452366021844,0.39285714285714285,0.3319710967619208
trolling,Tuesday,11,402016.2727272727,6.423948888521263,109363.0,0.0006693524624522113,0.6731903031145685,0.2857142857142857,0.33180827358108794
trolling,Monday,10,1240043.2,6.202934734479977,969616.0,0.002108419435946193,0.6471114943083129,0.25,0.31714896118491664
game development,Saturday,8,169632.375,6.104878369593948,96279.0,0.0002703008550301874,0.6355412254122245,0.17857142857142858,0.30397232967740745
chess,Wednesday,15,763999.9333333333,5.4408366050784265,40223.0,0.0012909538859505146,0.5571868852058774,0.42857142857142855,0.2941721704484655
apple,Wednesday,14,30467257.285714287,5.071117810102407,54503.0,0.05229764027025664,0.5135615083240975,0.39285714285714285,0.2939223311531737
apple,Tuesday,7,196684.7142857143,5.841129203539777,154901.0,0.00031675536234359713,0.6044198517419607,0.14285714285714285,0.2864171874826512
mrbeast,Saturday,26,77570158.23076923,3.2609455662286058,88288353.0,0.13318314275212062,0.29996823843081655,0.8214285714285714,0.27706097867517887
marvel,Tuesday,15,8258881.533333333,4.991047540889677,936041.0,0.014161228372127802,0.5041135286192587,0.42857142857142855,0.2760807835032668
game development,Sunday,4,622396.75,5.760177009757347,507322.0,0.001047791694086605,0.5948678083750704,0.03571428571428571,0.2717334486025492
mrbeast,Thursday,4,67914006.5,4.761376710266856,65154858.0,0.11660151679885995,0.4770132657145237,0.03571428571428571,0.2706980807024512
music,Tuesday,16,58585641.9375,4.045019533318692,47578.5,0.10058276976134782,0.39248591073285855,0.4642857142857143,0.2683094776509643
mrbeast,Wednesday,4,99278010.0,4.196219404343128,54828210.5,0.1704600506055081,0.4103269062341701,0.03571428571428571,0.26492555914928373
nintendo,Monday,3,566782.6666666666,5.514901747162259,640120.0,0.0009522907167533356,0.5659262833136186,0.0,0.2550953583136674
marvel,Wednesday,9,412443.8888888889,5.089571252343826,35516.0,0.0006872588536934683,0.5157389425889699,0.21428571428571427,0.25382036207777
business,Wednesday,18,725793.0,4.42825695279533,95873.5,0.001225344614781364,0.43770643261883263,0.5357142857142857,0.2510907283265549
trolling,Wednesday,6,931401.1666666666,5.22893893630451,219911.5,0.0015784167088888528,0.532183786130992,0.10714285714285714,0.25090727699223214
game development,Wednesday,13,967703.4615384615,4.690719753974583,353784.0,0.001640755318677985,0.4686760202472766,0.35714285714285715,0.2473568347189653
xbox,Tuesday,12,1733371.8333333333,4.742762551884463,107404.0,0.002955567564729269,0.4748168675713844,0.32142857142857145,0.2471404529541083
education,Tuesday,3,36070.333333333336,5.351258693697363,37905.0,4.0946980089154614e-05,0.5466170407798319,0.0,0.24599609449196447
sat,Monday,7,318362.85714285716,4.980076634681447,284841.0,0.0005257021050832985,0.5028190044442037,0.14285714285714285,0.24079083223289344
nintendo,Tuesday,9,561411.3333333334,4.756470200434246,156610.0,0.000943067017428085,0.4764343166766863,0.21428571428571427,0.2362483940909229
gaming,Monday,7,141162.42857142858,4.7883823402465095,126228.0,0.00022141202066321397,0.480199824801596,0.14285714285714285,0.23047527085573094
history,Tuesday,12,36406157.833333336,3.8646191071633282,71684.0,0.06249597084748227,0.37119936353102667,0.32142857142857145,0.22730575761318617
mrbeast,Tuesday,7,49638902.428571425,3.9845861649472085,15014572.0,0.08521935251453798,0.38535500879531326,0.14285714285714285,0.22604417687514733
computer science,Saturday,3,652807.3333333334,4.9376949120207865,165623.0,0.001100013006666749,0.497818126346864,0.0,0.22451316270908883
game development,Friday,7,301691.4285714286,4.649930795299925,283172.0,0.0004970737860193943,0.4638630820927186,0.14285714285714285,0.22324778443114637
sat,Tuesday,4,666361.0,4.8179816873244015,58879.0,0.0011232874784468168,0.4836924323976242,0.03571428571428571,0.22173850251566052
how-to,Tuesday,12,10478203.0,4.095396358058575,1803221.0,0.017972266087395453,0.3984301797157954,0.32142857142857145,0.21952395775429304
tech,Tuesday,4,1394379.0,4.762417747546544,1243462.5,0.002373446185540711,0.477136104056235,0.03571428571428571,0.21935072618022763
minecraft,Tuesday,10,228314.3,4.3732545726988326,202075.0,0.0003710699561894731,0.4312163661312465,0.25,0.2192143462393462
trolling,Thursday,4,1847350.25,4.717999442422206,1193072.0,0.0031512922721082205,0.4718949171654663,0.03571428571428571,0.2173422228183371
trolling,Saturday,9,693336.4444444445,4.386642187790981,743338.0,0.0011696099412842054,0.43279605253583153,0.21428571428571427,0.21671311954327352
mukbang,Wednesday,12,300652.25,4.179803426250836,115074.0,0.0004952892997301861,0.40838988479817384,0.32142857142857145,0.21614118548691397
trolling,Sunday,7,4643123.0,4.4073833547794345,715895.0,0.007952217038347986,0.4352434294047784,0.14285714285714285,0.21372375518512116
data science,Friday,8,489397.5,4.376871669982194,230674.0,0.0008194042497865223,0.43164316951357096,0.17857142857142858,0.21246530105065373
music,Wednesday,16,2059423.1875,3.806977032549473,88636.0,0.0035154657257242083,0.3643978233782189,0.4642857142857143,0.21198955152534585
cubes,Wednesday,8,6975152.5,4.234712272814978,1853165.0,0.011956797947920029,0.4148689146934754,0.17857142857142858,0.2099287135457708
tech,Sunday,3,2668450.6666666665,4.618223617350207,3186890.0,0.004561292897496958,0.4601217586687801,0.0,0.20910737320482467
sat,Saturday,11,1168005.3636363635,4.086541162188337,419705.0,0.00198471545009666,0.3973853011149492,0.2857142857142857,0.2082879360256992
data science,Monday,8,443330.25,4.287509916726087,97619.0,0.0007402971759238277,0.4210988309038253,0.17857142857142858,0.20768475049302995
computer science,Friday,5,117738.0,4.493496726565001,97136.0,0.0001811873925121649,0.44540447166109604,0.07142857142857142,0.20765640371698083
how-to,Friday,8,9587922.25,4.145091274869012,2995822.5,0.01644346840468626,0.40429398622069496,0.17857142857142858,0.2071889974385644
minecraft,Saturday,3,7315274.666666667,4.494124343364478,1815767.0,0.01254085862792241,0.44547852799738885,0.0,0.20610872398139007
computer science,Sunday,3,375784.0,4.574029755023709,362229.0,0.0006243061804140451,0.45490705515342317,0.0,0.20498911260022676
google,Tuesday,6,8218509.0,4.212346991565217,246397.5,0.014091900314203265,0.41222989867144405,0.10714285714285714,0.202559095257827
tutorial,Monday,9,5642689.555555556,4.047449718519182,1253037.0,0.009668681236688728,0.39277266311522196,0.21428571428571427,0.20252717638693127
mrbeast,Friday,4,57943543.5,3.6182383057399514,43809484.0,0.0994801528583976,0.3421273891965141,0.03571428571428571,0.20229482249613884
computer science,Monday,7,308240.4285714286,4.238896082802251,318419.0,0.0005083197845699219,0.41536258796618086,0.14285714285714285,0.20142762277355214
tech,Saturday,12,1741926.25,3.8728509995499363,559948.0,0.002970257281851569,0.37217069475003955,0.32142857142857145,0.20095628555720813
data science,Saturday,6,784381.8333333334,4.237579898938084,714663.0,0.0013259538581381761,0.415207283399845,0.10714285714285714,0.19815424248037813
