Keyword,Avg_Views,Std_Views,Avg_Likes,Avg_Comments,Avg_Engagement_Rate,Video_Count,Views_CV,Consistency_Score,Norm_Avg_Views,Norm_Avg_Likes,Norm_Avg_Comments,Norm_Avg_Engagement_Rate,Norm_Consistency_Score,Composite_Score,Engagement_Score,Avg_Engagement_Rate_eng,Video_Count_eng,Views_Forecast_Change_Pct,Engagement_Forecast_Change_Pct,Forecast_Momentum_Score,Best_Publish_Day,Best_Publish_Day_Score,Avg_Sentiment_Score,Strategy_Theme,Primary_Action,Risk_Level
mrbeast,66764003.98,61839499.34795602,2105914.36,95944.48,3.6004903886689283,50,0.9262401243412666,0.5191460749692247,0.6450556469801845,1.0,1.0,0.3293023359538401,0.8543762636760591,0.7448147876524291,2.52,3.6,50,475.6160764182069,-15.060819990782054,328.4130074955102,Saturday,0.27706097867517887,1.63,Scale Aggressively,Increase posting frequency and prioritize Saturday releases with repeatable formats.,Moderate
google,103364970.66666667,600572463.6122634,471167.5111111111,22646.2,2.6246248565119306,45,5.810212683646967,0.1468382922021292,1.0,0.222623105526998,0.2318912810383984,0.20339747700162764,0.013607451967258105,0.4329431179101306,1.837,2.62,45,-100.0,-22.120407019873483,-76.63612210596204,Thursday,0.5344645022816831,1.34,Improve Engagement Quality,Keep reach-oriented topics but add stronger hooks/CTAs and publish on Thursday.,High Volatility
animals,94723960.92105263,289029182.3630842,760775.7894736842,21871.815789473683,1.0481282162280081,38,3.051278468010587,0.24683566135878537,0.9162022784848413,0.3603415444401485,0.2237763394063238,0.0,0.2394277896861789,0.41562703928336475,0.7350000000000001,1.05,38,-100.0,-42.87856807665796,-82.86357042299738,Monday,0.3428219754715857,1.52,Improve Engagement Quality,Keep reach-oriented topics but add stronger hooks/CTAs and publish on Monday.,High Volatility
bed,53893228.61363637,107986333.94344714,473682.1818181818,15180.954545454546,1.578954569632446,44,2.003708753795534,0.3329217583883205,0.5202390246656285,0.2238189156955348,0.1536613399971512,0.06848650244442778,0.4338328192190925,0.2886483409490206,1.1059999999999999,1.58,44,-100.0,22.145828497981697,-63.35625145060549,Wednesday,0.15868555356570735,1.67,Improve Engagement Quality,Keep reach-oriented topics but add stronger hooks/CTAs and publish on Wednesday.,Moderate
crypto,404608.22,1874484.3649305466,8521.36,546.62,8.798945303655827,50,4.632838069702456,0.17753040077234514,0.0015236606132912238,0.0026193609502206234,0.0003049452691356827,1.0,0.08291829865337413,0.20933378929319604,6.157,8.8,50,,,,Tuesday,0.5214566435740625,1.43,Niche Community Expansion,Expand this niche with series-based content and audience prompts on Tuesday.,High Volatility
music,29364893.260869566,138737057.31303158,314188.10869565216,12288.934782608696,3.3856210643085833,46,4.724589191608158,0.17468502394301572,0.2823711509295927,0.1479741405029024,0.12335523192406733,0.3015801846068714,0.07649269004031002,0.20694252568967703,2.373,3.39,46,-100.0,-47.96212734404076,-84.38863820321222,Tuesday,0.2683094776509643,1.74,Defend and Optimize,"Maintain cadence, refine thumbnails/titles, and test one new format on Tuesday.",High Volatility
gaming,519645.488372093,1269094.3782117001,24897.279069767443,1376.906976744186,6.964528195903346,43,2.4422311106508885,0.2905092563093217,0.0026392548855696672,0.01040665909931911,0.00900570422388166,0.7633259710478795,0.3380542440049822,0.1911448677403852,4.875,6.96,43,-100.0,-1.8003875197554826,-70.54011625592665,Wednesday,0.47269898311001757,1.49,Niche Community Expansion,Expand this niche with series-based content and audience prompts on Wednesday.,Moderate
marvel,6614079.56,12001111.637106463,210379.22,9700.68,4.124514623772338,50,1.8144794794555608,0.35530548625404873,0.06174110804410693,0.09860953608860476,0.09623234356412486,0.39691123824020696,0.4843811589271948,0.1853110718845389,2.8840000000000003,4.12,50,1743.4182922041412,-11.147899176676072,1217.048434789896,Tuesday,0.2760807835032668,1.48,Niche Community Expansion,Expand this niche with series-based content and audience prompts on Tuesday.,Moderate
reaction,623172.46,3363591.38213012,73959.78,3246.72,7.564944002220653,50,5.397528931445591,0.1563103521243536,0.0036432260177844487,0.03373752199967958,0.02859988414175617,0.8407908111472813,0.0349978524204903,0.18521839650512778,5.295,7.56,50,,,,Wednesday,0.46077243842472965,1.55,Niche Community Expansion,Expand this niche with series-based content and audience prompts on Wednesday.,High Volatility
cubes,15038739.34,28955261.32350688,303061.2,6833.08,2.961670518638744,50,1.9253782294431923,0.3418361393187564,0.14344073747256925,0.14268292264076685,0.06618213553067183,0.24688265518671437,0.4539638339572152,0.17957814730912292,2.072,2.96,50,-100.0,-21.7910016608454,-76.53730049825361,Wednesday,0.2099287135457708,1.42,Improve Engagement Quality,Keep reach-oriented topics but add stronger hooks/CTAs and publish on Wednesday.,Moderate
