Keyword,Months_Used,Last_Month_Avg_Views,Forecast_Next_Month_Avg_Views,Views_Forecast_Change_Pct,Last_Month_Avg_Engagement,Forecast_Next_Month_Avg_Engagement,Engagement_Forecast_Change_Pct,Trend_Slope_Views,Trend_Slope_Engagement,Forecast_Momentum_Score
marvel,10,442368.94736842107,8154710.094820384,1743.4182922041412,5.678009895701672,5.04503107728716,-11.147899176676072,-314220.87660818663,0.4021362365835636,1217.048434789896
chess,15,192105.0,2178997.6142857145,1034.2742845244602,4.0769042856594515,3.2478977098164044,-20.334217282438676,-167447.76071428592,0.03215196705283683,717.8917339823905
machine learning,37,132583.0,1261612.120870871,851.5640171597196,4.414559826223376,2.844878011797327,-35.55692699194656,9170.13035403826,-0.00042782523720665927,585.4277339142197
mrbeast,23,13839121.181818182,79660206.3575428,475.6160764182069,5.10059882348949,4.33240681623179,-15.060819990782054,-1870610.8106884076,0.09706432872974374,328.4130074955102
data science,29,109116.5,397244.58448275836,264.05546776404884,3.742724543716874,3.942102363264879,5.32707703223075,-15219.487931034486,0.006046915671531243,186.4369505445034
computer science,33,91389.5,337071.469381311,268.82953663310445,7.117084332706588,5.494696337347686,-22.795683169064215,-60883.1842134582,0.11079766160617051,181.34197069245386
tech,11,1035372.2222222222,2020922.6785353546,95.18803336232477,4.4978462850816685,4.275740984606815,-4.938036704622979,-126451.10050505042,0.18961724312342298,65.15021234224044
how-to,26,908056.875,1385830.2469230741,52.61491709129719,4.802147411620029,4.349731459089825,-9.421117549108711,-886084.3588461536,0.12208244985376793,34.004106699175416
interview,25,964540.4444444445,743153.4194444437,-22.952591182168128,3.236263809769714,3.8736660539912995,19.695620681397468,-269135.65833333327,0.07233200945151361,-10.158127623098448
game development,24,1053958.5,649283.0948067632,-38.39576275472296,4.832758081830848,5.115004182735177,5.8402695960606135,-5012.072304347842,-0.020237930134784112,-25.124953049487885
finance,11,85097.41379310345,0.0,-100.0,2.2227542674447474,3.5156409570055045,58.16597491215458,-660358.5539184952,0.18538280291241213,-52.55020752635363
