Keyword,Months_Used,Last_Month_Avg_Views,Forecast_Next_Month_Avg_Views,Views_Forecast_Change_Pct,Last_Month_Avg_Engagement,Forecast_Next_Month_Avg_Engagement,Engagement_Forecast_Change_Pct,Trend_Slope_Views,Trend_Slope_Engagement,Forecast_Momentum_Score
bed,33,382249.0,0.0,-100.0,2.4148983951704013,2.9496976521653506,22.145828497981697,-4717420.528910427,0.08019586078074058,-63.35625145060549
minecraft,4,517135.45652173914,0.0,-100.0,5.376253491201135,6.523481619091273,21.338802751166963,-6410751.463043483,1.325970833451968,-63.598359174649914
apple,6,122461.46875,0.0,-100.0,4.23009018510609,5.112001592710873,20.84852494894655,-60913772.47017862,0.6824938267996277,-63.745442515316036
movies,14,7730416.857142857,1505587.9560439535,-80.52384517074522,1.433285728216637,0.8839295230780535,-38.328450100603376,-179177.34599686053,-0.07200504236470505,-67.86522664970266
gaming,4,298774.35,0.0,-100.0,7.275769462872496,7.144777417496759,-1.8003875197554826,-1899800.8950000012,1.2859406298170502,-70.54011625592665
tutorial,28,821130.4285714285,0.0,-100.0,5.082356516450048,4.779477302042977,-5.95942479491044,-876138.4546876219,0.11978131845854385,-71.78782743847313
biology,38,319489.0,0.0,-100.0,4.986071551535259,4.509426619629598,-9.559528518175755,-292018.705128205,0.09948881539795361,-72.86785855545273
nintendo,11,368449.8275862069,0.0,-100.0,6.297727540466431,5.6831223010314496,-9.75915892654609,-1081999.770564263,0.37036020584441937,-72.92774767796382
sat,34,21068.2,0.0,-100.0,5.457957941779261,4.68183346733476,-14.220052311203574,-148144.88465495288,0.051118788535442924,-74.26601569336107
asmr,7,195288.8,0.0,-100.0,6.303260689742238,5.315674797832084,-15.667857328466923,-3803462.3071428547,0.6275781250243392,-74.70035719854008
physics,34,146643.66666666666,0.0,-100.0,4.105368515591381,3.415291546496703,-16.809135805321773,-328321.7576776164,0.02689448648093391,-75.04274074159653
mathchemistry,13,64368.0,0.0,-100.0,3.0620329661793724,2.4835508378486746,-18.892093413758847,-614630.0604395604,-0.04911959017492545,-75.66762802412765
cubes,25,727472.3333333334,0.0,-100.0,5.445778281108628,4.259088645426289,-21.7910016608454,-3335850.6658974364,0.14713755639265497,-76.53730049825361
google,23,236876.9,0.0,-100.0,4.458873795475032,3.472552763413474,-22.120407019873483,-28261750.177569166,0.12419612403094084,-76.63612210596204
business,20,182819.29411764705,0.0,-100.0,4.665765928482306,3.519951739349679,-24.557901246995055,-1004726.1754975677,0.09637420333205393,-77.36737037409851
food,17,734157.875,0.0,-100.0,3.58921205809157,2.6871898584336975,-25.131482483024126,-1463849.518865121,0.07290956270520545,-77.53944474490724
trolling,14,133026.4705882353,0.0,-100.0,6.136088687513076,4.349992597185642,-29.108055331112386,-580239.0311333768,-0.0820848446027854,-78.73241659933372
mukbang,12,315677.3703703704,0.0,-100.0,4.257108216336888,2.867658577757788,-32.63834434010886,-6860442.679810928,0.15934478945158367,-79.79150330203265
literature,37,67276.0,0.0,-100.0,7.4379059708369875,4.942526587153683,-33.54948816867739,-47335.369408882536,0.11244485114955133,-80.06484645060321
lofi,14,36352.0,0.0,-100.0,4.486535551618906,2.9429655368839356,-34.404497567794685,-3148158.0707692327,0.10327613419681375,-80.3213492703384
xbox,16,48353.6,0.0,-100.0,6.538256387523615,4.238948085785445,-35.166995074187355,-666819.008823529,0.17427419828879795,-80.5500985222562
sports,23,588785.619047619,0.0,-100.0,1.5864456409339047,1.0206748886634749,-35.66278841658724,-2080454.9809194433,-0.010039722704102225,-80.69883652497617
education,19,52085.0,0.0,-100.0,8.018229128457092,4.762725230825502,-40.6012829700469,-349306.67017543875,0.18438999845929205,-82.18038489101407
history,22,146109.88888888888,0.0,-100.0,4.367573040864831,2.567392627888653,-41.21695037800034,-7323676.073113124,0.049722205474069144,-82.3650851134001
animals,29,72784.0,0.0,-100.0,1.6422091130378587,0.9380533605428395,-42.87856807665796,-14752966.51658456,-0.005258401806279119,-82.86357042299738
music,11,1116407.121212121,0.0,-100.0,4.301109990251386,2.238206139519757,-47.96212734404076,-36528448.26721762,0.13910559648521165,-84.38863820321222
