Title,Video ID,Published At,Keyword,Likes,Comments,Views,Year,Month,Day,Day_of_Week,Engagement_Rate,Like_Rate,Comment_Rate,Total_Comments,Total_Comment_Likes,Avg_Sentiment
10 New Tech Gadgets 2022 | You Can Buy Right Now,bbbQ_X45FaA,2022-05-27,tech,1452.0,38.0,63599.0,2022,5,27,Friday,2.342767295597484,2.2830188679245285,0.059748427672955975,10,30.0,1.8
Taste Expert Answers Questions From Twitter | Tech Support | WIRED,MtMkU-1p7-0,2022-06-03,tech,35758.0,2056.0,1006704.0,2022,6,3,Friday,3.7562145812328342,3.5519839476311335,0.2042306336017006,10,15514.0,1.5
Audiologist Answers Hearing Questions From Twitter | Tech Support | WIRED,QYlXL_8ei6g,2022-08-19,tech,8725.0,790.0,257848.0,2022,8,19,Friday,3.6901442317015,3.3837633653805135,0.3063808663209863,10,3120.0,1.7
James Dyson Answers Design Questions From Twitter | Tech Support | WIRED,zFCFe38EIfE,2021-11-30,tech,110145.0,3289.0,2954979.0,2021,11,30,Tuesday,3.8387400253132005,3.7274363955085987,0.11130362980460104,10,36067.0,1.4
My Massive Tech Unboxing 46.0!,LOrkbagIpiY,2022-05-28,tech,12188.0,326.0,304037.0,2022,5,28,Saturday,4.115932876811451,4.008709437636085,0.10722343917536623,10,405.0,1.8
Cool Tech Under $50 - April!,UK5OHUmIgcc,2022-04-02,tech,59458.0,4159.0,1541386.0,2022,4,2,Saturday,4.12725681480381,3.857434894676029,0.26982192012778106,10,1174.0,2.0
15 Emerging Technologies That Will Change Our World,My2Tr3k1liw,2022-05-14,tech,3494.0,136.0,589007.0,2022,5,14,Saturday,0.6162904408768641,0.5932007714666014,0.023089669410262678,9,31.0,1.3333333333333333
Veterinarian Answers Pet Questions From Twitter | Tech Support | WIRED,IUwqf08-FKU,2022-05-05,tech,36423.0,1902.0,1085076.0,2022,5,5,Thursday,3.532007405926031,3.3567203064851623,0.17528709944086918,10,28229.0,0.7
What Is The Best Position For Descending? | GCN Tech Clinic,U48UrDpXGog,2022-08-24,tech,941.0,221.0,25594.0,2022,8,24,Wednesday,4.539949208829849,3.67649931627271,0.86344989255714,10,20.0,1.1
My Everyday Tech: 2022!,-pTGc7cIBIA,2022-01-07,tech,134194.0,6102.0,4098623.0,2022,1,7,Friday,3.423002451554473,3.274123217938508,0.14887923361596478,10,13003.0,1.8
INVENTIONS OF THE FUTURE THAT WILL SOON BE AVAILABLE TO EVERYONE,_f8Gb-vojoU,2022-03-16,tech,42075.0,1820.0,7188648.0,2022,3,16,Wednesday,0.6106154299646568,0.5852977381424521,0.0253176918222047,10,801.0,1.8
